Navn,Drengenavn,Pigenavn
Adrijan,Ja,Nej
Adrijus,Ja,Nej
Adrin,Ja,Nej
Adrith,Ja,Nej
Adriyan,Ja,Nej
Adriyel,Ja,Nej
Adrosh,Ja,Nej
Adser,Ja,Nej
Adsudan,Ja,Nej
Adu,Ja,Nej
Aduku,Ja,Nej
Aduur,Ja,Nej
Advaith,Ja,Nej
Advan,Ja,Nej
Advi,Ja,Nej
Advik,Ja,Nej
Advikan,Ja,Nej
Advit,Ja,Nej
Advith,Ja,Nej
Advitya,Ja,Nej
Adwait,Ja,Nej
Adwan,Ja,Nej
Adyan,Ja,Nej
Adyant,Ja,Nej
Aécio,Ja,Nej
Aedan,Ja,Nej
Aeden,Ja,Nej
Aeen,Ja,Nej
Aegir,Ja,Nej
Ægir,Ja,Nej
Aegon,Ja,Nej
Aeham,Ja,Nej
Aeirishan,Ja,Nej
Ælflin,Ja,Nej
Aelon,Ja,Nej
Aend,Ja,Nej
Aeneas,Ja,Nej
Æneas,Ja,Nej
Aenias,Ja,Nej
Aeoob,Ja,Nej
Aerambu,Ja,Nej
Aerish,Ja,Nej
Aerle,Ja,Nej
Æsel,Ja,Nej
Æskil,Ja,Nej
Ævar,Ja,Nej
Aezha,Ja,Ja
Afaan,Ja,Nej
Afam,Ja,Nej
Afan,Ja,Nej
Afanyu,Ja,Nej
Afeef,Ja,Nej
Afeen,Ja,Nej
Afegenui,Ja,Nej
Afegnui,Ja,Nej
Afelay,Ja,Nej
Afewerki,Ja,Nej
Affan,Ja,Nej
Afif,Ja,Nej
Afnan,Ja,Ja
Afonso,Ja,Nej
Afope,Ja,Nej
Afou,Ja,Nej
Afraz,Ja,Nej
Afrim,Ja,Nej
Afroz,Ja,Nej
Afseh,Ja,Nej
Afshin,Ja,Nej
Aftab,Ja,Nej
Afwan,Ja,Nej
Afzal,Ja,Nej
Agah,Ja,Nej
Agahnifor,Ja,Nej
Agam,Ja,Ja
Agamvir,Ja,Nej
Agan,Ja,Nej
Aganze,Ja,Nej
Agaran,Ja,Nej
Agash,Ja,Nej
Agastya,Ja,Nej
Åge,Ja,Nej
Agea,Ja,Nej
Agean,Ja,Nej
Agenar,Ja,Nej
Agern,Ja,Nej
Aggadhamma,Ja,Nej
Agge,Ja,Nej
Aggellos,Ja,Nej
Agha,Ja,Nej
Agharr,Ja,Nej
Aghiad,Ja,Nej
Aghilas,Ja,Nej
Agid,Ja,Nej
Agim,Ja,Nej
Aginthan,Ja,Nej
Aginus,Ja,Nej
Agir,Ja,Nej
Agit,Ja,Nej
Agnar,Ja,Nej
Agne,Ja,Ja
Agner,Ja,Nej
Agni,Ja,Ja
Agno,Ja,Nej
Agnus,Ja,Nej
Agon,Ja,Nej
Ágoston,Ja,Nej
Agrim,Ja,Nej
Agris,Ja,Nej
Agron,Ja,Nej
Agshayan,Ja,Nej
Agthor,Ja,Nej
Agtor,Ja,Nej
Agunna,Ja,Nej
Agust,Ja,Nej
Ágúst,Ja,Nej
Agustín,Ja,Nej
Agyamah,Ja,Nej
Agyemang,Ja,Nej
Ahaan,Ja,Nej
Ahaanreddy,Ja,Nej
Ahab,Ja,Nej
Ahad,Ja,Nej
Ahadi,Ja,Nej
Ahamed,Ja,Nej
Aharan,Ja,Nej
Ahat,Ja,Nej
Ahd,Ja,Nej
Aheran,Ja,Nej
Ahhimssa,Ja,Nej
Ahid,Ja,Nej
Ahijah,Ja,Nej
Ahil,Ja,Nej
Ahilan,Ja,Nej
Ahim,Ja,Nej
Ahir,Ja,Nej
Ahiyan,Ja,Nej
Ahjaz,Ja,Nej
Ahlas,Ja,Nej
Ahmad,Ja,Nej
Ahmadi,Ja,Nej
Ahmadon,Ja,Nej
Ahmadulla,Ja,Nej
Ahmed,Ja,Nej
Ahmedeeg,Ja,Nej
Ahmednur,Ja,Nej
Ahmedur,Ja,Nej
Ahmet,Ja,Nej
Ahmethan,Ja,Nej
Ahnaf,Ja,Nej
Ahnash,Ja,Nej
Ahndus,Ja,Nej
Ahranan,Ja,Nej
Ahrendt,Ja,Nej
Ahrent,Ja,Nej
Ahrian,Ja,Nej
Ahriman,Ja,Nej
Ahrn,Ja,Nej
Ahsan,Ja,Nej
Ahsen,Ja,Ja
Ahthal,Ja,Nej
Ahti,Ja,Nej
Ahura,Ja,Ja
Ahyan,Ja,Nej
Ahyuthan,Ja,Nej
Aiad,Ja,Nej
Aian,Ja,Nej
Aias,Ja,Nej
Aiaz,Ja,Nej
Aibatyr,Ja,Nej
Aid,Ja,Nej
Aidan,Ja,Ja
Aidas,Ja,Nej
Aiden,Ja,Ja
Aidenn,Ja,Nej
Aidid,Ja,Nej
Aidin,Ja,Nej
Aidino,Ja,Nej
Aidrien,Ja,Nej
Aies,Ja,Nej
Aieyan,Ja,Nej
Aigil,Ja,Nej
Aiham,Ja,Nej
Aihan,Ja,Nej
Aik,Ja,Nej
Aiken,Ja,Nej
Aikin,Ja,Nej
Aiko,Ja,Ja
Aikq,Ja,Nej
Ail,Ja,Nej
Ailan,Ja,Nej
Ailo,Ja,Nej
Ailwyn,Ja,Nej
Aimal,Ja,Ja
Aiman,Ja,Ja
Aimar,Ja,Nej
Aimas,Ja,Nej
Aimé,Ja,Nej
Aimilianos,Ja,Nej
Aimir,Ja,Nej
Aimo,Ja,Nej
Ain,Ja,Nej
Ainan,Ja,Nej
Ainda,Ja,Nej
Ainhoa,Ja,Ja
Ainis,Ja,Nej
Ainsley,Ja,Nej
Aique,Ja,Nej
Air,Ja,Nej
Aironas,Ja,Nej
Airyaman,Ja,Nej
Ais,Ja,Nej
Aishvin,Ja,Nej
Aison,Ja,Nej
Aisosa,Ja,Ja
Aissa,Ja,Nej
Aissam,Ja,Nej
Aistian,Ja,Nej
Aitor,Ja,Nej
Aivan,Ja,Nej
Aivar,Ja,Nej
Aivaras,Ja,Nej
Aiven,Ja,Nej
Aivis,Ja,Nej
Aivon,Ja,Nej
Aixi,Ja,Nej
Aiyan,Ja,Nej
Aiyub,Ja,Nej
Aize,Ja,Nej
Aizen,Ja,Nej
Ajadi,Ja,Nej
Ajai,Ja,Nej
Ajan,Ja,Nej
Ajanth,Ja,Nej
Ajas,Ja,Nej
Ajasa,Ja,Nej
Ajay,Ja,Nej
Ajaycharan,Ja,Nej
Ajaz,Ja,Nej
Ajdin,Ja,Nej
Ajeeivan,Ja,Nej
Ajeeshan,Ja,Nej
Ajeet,Ja,Nej
Ajes,Ja,Nej
Ajesh,Ja,Nej
Ajet,Ja,Nej
Ajey,Ja,Nej
Ajham,Ja,Nej
Ajil,Ja,Nej
Ajinth,Ja,Nej
Ajinwi,Ja,Nej
Ajish,Ja,Nej
Ajit,Ja,Nej
Ajith,Ja,Nej
Ajitsingh,Ja,Nej
Ajlan,Ja,Nej
Ajmal,Ja,Nej
Ajman,Ja,Nej
Ajmin,Ja,Nej
Ajnur,Ja,Ja
Ajo,Ja,Ja
Ajouad,Ja,Nej
Ajs,Ja,Nej
Ajshiv,Ja,Nej
Aju,Ja,Nej
Ajub,Ja,Nej
Ajuna,Ja,Nej
Ajus,Ja,Nej
Ajvan,Ja,Nej
Ajvin,Ja,Nej
Akaasan,Ja,Nej
Akaash,Ja,Nej
Akab,Ja,Nej
Akachi,Ja,Nej
Akachukwu,Ja,Nej
Akafu,Ja,Nej
Akai,Ja,Nej
Akalyan,Ja,Nej
Akam,Ja,Nej
Akamalik,Ja,Nej
Akan,Ja,Nej
Akar,Ja,Nej
Akaran,Ja,Nej
Akarsh,Ja,Nej
Akash,Ja,Nej
Akay,Ja,Nej
Akaza,Ja,Nej
Akbar,Ja,Nej
Akber,Ja,Nej
Ake,Ja,Nej
Åke,Ja,Nej
Akec,Ja,Nej
Aked,Ja,Nej
Akeel,Ja,Nej
Akeem,Ja,Nej
Akeen,Ja,Nej
Akelya,Ja,Nej
Akhadi,Ja,Nej
Akhere,Ja,Nej
Akhil,Ja,Nej
Aki,Ja,Ja
Áki,Ja,Nej
Akidu,Ja,Nej
Akif,Ja,Nej
Akiimoh,Ja,Nej
Akil,Ja,Nej
Akila,Ja,Ja
Akilan,Ja,Nej
Akilesh,Ja,Nej
Akim,Ja,Nej
Akin,Ja,Nej
Akinola,Ja,Nej
Akinthan,Ja,Nej
Akio,Ja,Nej
Akira,Ja,Ja
Akis,Ja,Nej
Akisarpu,Ja,Nej
Akish,Ja,Nej
Akisooq,Ja,Ja
Akiva,Ja,Nej
Akkapon,Ja,Nej
Akki,Ja,Nej
Aklilu,Ja,Nej
Akmal,Ja,Nej
Ako,Ja,Nej
Akombai,Ja,Nej
Akon,Ja,Nej
Akorede,Ja,Nej
Ákos,Ja,Nej
Akoun,Ja,Nej
Akrab,Ja,Nej
Akram,Ja,Ja
Akrasi,Ja,Nej
Akrom,Ja,Nej
Aksam,Ja,Nej
Aksayan,Ja,Nej
Akseel,Ja,Nej
Aksel,Ja,Nej
Akseli,Ja,Nej
Aksh,Ja,Nej
Akshaj,Ja,Nej
Akshajan,Ja,Nej
Aksharan,Ja,Nej
Akshath,Ja,Nej
Akshay,Ja,Nej
Akshayan,Ja,Nej
Akshayen,Ja,Nej
Akshini,Ja,Ja
Akshit,Ja,Nej
Akshiv,Ja,Nej
Akshobhya,Ja,Nej
Aksil,Ja,Nej
Aksjaay,Ja,Nej
Akton,Ja,Nej
Aktug,Ja,Nej
Akuamuah,Ja,Nej
Akugbe,Ja,Nej
Akul,Ja,Nej
Akutaaneq,Ja,Nej
Akutu,Ja,Nej
Akvataya,Ja,Nej
Akvillas,Ja,Nej
Akwasi,Ja,Nej
Akwei,Ja,Nej
Akwesi,Ja,Nej
Al,Ja,Ja
Ala,Ja,Ja
Alaa,Ja,Ja
Ala'a,Ja,Nej
Alaaeddin,Ja,Nej
Alaaeddine,Ja,Nej
Alaaeldine,Ja,Nej
Alaaldin,Ja,Nej
Alaan,Ja,Nej
Álaan,Ja,Nej
Alaaradi,Ja,Nej
Alaba,Ja,Nej
Alabdin,Ja,Nej
Alabedin,Ja,Nej
Alabidin,Ja,Nej
Aladdin,Ja,Nej
Aladin,Ja,Nej
Alae,Ja,Ja
Alaeddin,Ja,Nej
Alah,Ja,Nej
Alain,Ja,Nej
Alakaï,Ja,Nej
Alakbar,Ja,Nej
Alam,Ja,Nej
Alama,Ja,Nej
Alamer,Ja,Nej
